component,percentage,fixes_count,edge_count,component_nodes
13,0.0,0,1,"{936, 937}"
25,10.585585585585585,47,444,"{1, 2, 3, 4, 5, 6, 518, 520, 517, 513, 523, 14, 526, 528, 530, 533, 535, 536, 540, 541, 542, 543, 546, 38, 551, 552, 41, 550, 554, 39, 557, 553, 559, 46, 49, 50, 562, 51, 564, 566, 53, 56, 568, 569, 570, 571, 572, 573, 575, 576, 574, 578, 579, 577, 581, 67, 70, 71, 73, 591, 80, 598, 599, 87, 601, 90, 603, 602, 607, 610, 101, 103, 104, 105, 107, 108, 109, 623, 624, 112, 629, 121, 122, 123, 127, 640, 129, 130, 131, 132, 645, 133, 134, 136, 135, 137, 139, 140, 141, 138, 142, 143, 144, 653, 145, 148, 149, 666, 154, 156, 159, 673, 162, 674, 164, 165, 675, 167, 168, 644, 680, 682, 172, 174, 175, 176, 177, 179, 180, 647, 188, 191, 194, 195, 197, 198, 199, 200, 201, 715, 205, 717, 207, 206, 208, 210, 211, 724, 212, 215, 216, 217, 218, 219, 220, 221, 734, 735, 224, 223, 226, 228, 741, 742, 231, 351, 748, 237, 238, 239, 244, 756, 247, 248, 763, 252, 254, 256, 257, 258, 259, 260, 262, 263, 265, 266, 267, 268, 782, 271, 272, 276, 277, 278, 279, 281, 287, 288, 294, 806, 297, 298, 299, 301, 302, 303, 820, 311, 312, 825, 315, 316, 317, 318, 319, 325, 326, 840, 329, 330, 331, 332, 335, 336, 337, 338, 851, 852, 853, 342, 340, 350, 863, 352, 353, 864, 865, 356, 866, 867, 869, 360, 361, 871, 362, 359, 877, 365, 367, 366, 368, 370, 369, 372, 373, 380, 894, 383, 902, 903, 391, 907, 909, 910, 911, 912, 398, 403, 404, 405, 407, 924, 412, 414, 419, 422, 423, 424, 425, 426, 427, 428, 429, 441, 442, 443, 444, 445, 446, 447, 451, 455, 457, 463, 471, 472, 475, 476, 477, 484, 485, 487, 496, 499, 508, 510}"
28,28.57142857142857,2,7,"{416, 737, 738, 417, 914, 917, 921, 415}"
31,0.0,0,1,"{913, 918}"
47,0.0,0,2,"{808, 891, 876}"
55,0.0,0,1,"{882, 883}"
81,0.0,0,11,"{839, 844, 815, 816, 818, 821, 822, 823, 824}"
87,100.0,1,1,"{835, 836}"
91,50.0,1,2,"{826, 829, 831}"
115,0.0,0,1,"{648, 794}"
137,0.0,0,4,"{769, 770, 762, 758}"
156,0.0,0,3,"{736, 745, 739, 660}"
159,0.0,0,1,"{657, 740}"
165,7.4074074074074066,2,27,"{270, 655, 273, 280, 668, 545, 321, 464, 592, 600, 728, 606, 611, 612, 613, 614, 615, 616, 497, 502, 504}"
168,0.0,0,1,"{620, 725}"
173,0.0,0,4,"{584, 585, 333, 719}"
175,0.0,0,1,"{700, 716}"
176,0.0,0,1,"{706, 714}"
203,0.0,0,1,"{16, 685}"
211,0.0,0,2,"{672, 261, 327}"
213,100.0,1,1,"{669, 670}"
221,0.0,0,1,"{658, 642}"
223,0.0,0,1,"{473, 654}"
237,0.0,0,1,"{632, 633}"
244,0.0,0,1,"{621, 622}"
252,0.0,0,2,"{595, 596, 597}"
256,100.0,1,1,"{586, 589}"
265,0.0,0,1,"{560, 561}"
267,0.0,0,1,"{555, 556}"
288,0.0,0,1,"{512, 184}"
324,0.0,0,1,"{458, 438}"
339,0.0,0,1,"{432, 431}"
349,0.0,0,1,"{396, 406}"
386,100.0,1,1,"{344, 341}"
404,0.0,0,1,"{296, 300}"
406,0.0,0,1,"{292, 293}"
410,100.0,1,1,"{285, 286}"
412,0.0,0,1,"{282, 283}"
438,0.0,0,2,"{182, 214, 183}"
469,100.0,1,1,"{146, 147}"
483,0.0,0,1,"{26, 110}"
489,100.0,1,1,"{96, 97}"
491,50.0,10,20,"{64, 72, 76, 78, 81, 82, 52, 84, 86, 85, 62, 54, 94, 63}"
498,0.0,0,1,"{24, 79}"
506,0.0,0,2,"{59, 60, 61}"
517,0.0,0,2,"{8, 29, 37}"
518,100.0,1,1,"{34, 36}"
521,0.0,0,1,"{32, 31}"
